day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 3,1771 kcal,63.95 g,235.2 g,65.55 g,47.85 g,Brinjal sambhar | Rava idli,Multi grain roti | Grilled paneer | Green salad | Mix Veg Bhaji,Wheat Roti | Matar Paneer | Capsicum lettuce salad,Apple | walnuts,Epigamia plain yoghurt | Papaya,Carrot beetroot juice | Soaked and peeled almonds,Puffed Rice Chivda | Ragi with buttermilk,1 katori | 2 rava,2 roti | 0.5 serving | 1 katori | 1 Small,2 roti | 1.5 Small | 1 katori,1 piece | 6 piece,1 pack | 1 cup,1 glass | 4 almond,1 Katori | 1 glass,117 | 168,164 | 143.5 | 60 | 94,170 | 205.5 | 49,84,69 | ,72 | 32,138 | 71,15.9 | 27.2,31.8 | 0.9 | 2.8 | 14.2,34.8 | 16.5 | 3.7,88 | 1.2,5.6 | 46,15.7 | 0.4,19.8 | 14.3,5.5 | 5.2,6.2 | 8.45 | 1.4 | 2.3,6 | 9.3 | 1.1,20 | 1.8,7.2 | 10.4,2.1 | 1.2,3.2 | 1.8,3.5 | 4.4,1.4 | 11.85 | 4.8 | 3.3,0.8 | 11.7 | 3.7,0.3 | 8.4,2 | 0.9,0 | 2.8,5.1 | 0.8,3.2 | 2.2,6 | 0.25 | 1.7 | 4,5.4 | 6.9 | 1.9,0.8 | 1.2,0 | 0.2,1 | 0.8,2.4 | 2.3,Weight Loss,Maharashtrian,Cholesterol,Veg,1800
Day 4,1790.5 kcal,67.3 g,230.7 g,71.6 g,46.75 g,Methi paneer paratha | Dahi,Bhindi Sabzi | Mix daal | Carrot tomato salad | Bajra roti,Veg Tofu Fried Rice | Carrot tomato salad,Fresh fruit salad | Chia seeds,Moong beans boiled,Coconut water | walnuts | Almonds,Masala Papad | Green tea,2 pieces | 1 katori,1 Katori | 1 katori | 1 katori | 2 piece,1.5 Bowl | 1 katori,1 katori | 1 tbsp,1 katori,1 piece | 6 piece | 6 almond,2 Piece | 1 teacup,276 | 90,68 | 149 | 27 | 226,457.5 | 27,60 | 47,138,49 | 84 | 42,50 | 0,26.6 | 4.5,7.1 | 22.4 | 5.4 | 38.2,65.7 | 5.4,14 | 4.1,23.4,9.1 | 1.2 | 1.8,1.8 | 0,9.2 | 4.7,1.8 | 8.7 | 0.9 | 6.6,13.2 | 0.9,0.9 | 1.6,9.9,2.9 | 1.8 | 1.8,2.4 | 0,15 | 6,3.7 | 2.9 | 0.2 | 5.2,16.2 | 0.2,0.5 | 3,0.5,0.2 | 8.4 | 3.6,6 | 0,4.2 | 0,3.1 | 6 | 2.5 | 6.4,1.95 | 2.5,3.6 | 3.3,6.9,2.3 | 1.2 | 1.2,1.6 | 0,Weight Loss,Maharashtrian,Cholesterol,Veg,1800
Day 1,1699.5 kcal,57.1 g,284.15 g,39.05 g,43.45 g,Peas poha,Wheat Roti | Lauki sabzi | Daal | Carrot tomato salad,Daal | Gobi matar sabzi | Wheat Roti | Brown rice,Peanut butter with whole wheat bread,Apple smoothie,Almonds | Apple,Roasted chana,1.5 katori,2 roti | 1 katori | 1 bowl | 1 katori,1 bowl | 1 katori | 1 roti | 1 katori,1 slice,1.5 glass,6 almond | 1 piece,1 katori,210,170 | 50 | 116 | 27,116 | 82 | 85 | 109,117,217.5,42 | ,270,41.85,34.8 | 3.7 | 18.7 | 5.4,18.7 | 7 | 17.4 | 22.8,13,33,1.8 | 88,46,4.5,6 | 0.7 | 7.2 | 0.9,7.2 | 2.7 | 3 | 2.4,5.4,5.4,1.8 | 20,9.6,3,0.8 | 3.7 | 1.4 | 0.2,1.4 | 5 | 0.4 | 0.9,5.2,7.35,3.6 | 0.3,5.3,1.65,5.4 | 2.5 | 3.1 | 2.5,3.1 | 3.4 | 2.7 | 1,2.5,2.4,1.2 | 0.8,7.2,Weight Gain,North Indian,Diabetes,Veg,1700
Day 2,1679.5 kcal,60.1 g,247.45 g,61.95 g,40.55 g,Cow milk | Upma,Paneer Pulao | Tomato cucumber raita,Jowar roti | Chana palak curry | Mix daal | Carrot cucumber salad,Masala oats,Sprouts,Chia seeds | Pomegranate,Apple | walnuts,1 glass | 1.5 katori,2 Katori | 1 katori,2 piece | 1 katori | 1 katori | 1 katori,1 katori,1 Katori,1 tbsp | 1 cup,1 piece | 6 piece,168 | 256.5,272 | 51,166 | 129 | 149 | 21,80,24,47 | 144,84,11 | 36.45,39 | 5.5,35.6 | 17.2 | 22.4 | 4.9,12.8,4.8,4.1 | 32.5,88 | 1.2,8 | 6.6,13.8 | 2.5,3.6 | 4.9 | 8.7 | 0.7,2.3,2.4,1.6 | 2.9,20 | 1.8,10.3 | 9.45,13.8 | 2.4,1.6 | 4.8 | 2.9 | 0.1,2.2,0.2,3 | 2,0.3 | 8.4,0 | 3.75,0.6 | 1.1,3 | 4.9 | 6 | 1.1,2.4,1.4,3.3 | 7,0.8 | 1.2,Weight Gain,North Indian,Diabetes,Veg,1700
Day 3,1717.5 kcal,59.25 g,237.9 g,59.95 g,45.85 g,Brinjal sambhar | Tomato peanut chutney | Rava idli,Multi grain roti | Baigan Sabzi | Grilled paneer | Green salad,Wheat Roti | Carrot tomato salad | Moong Bhaji,Apple | walnuts,Papaya smoothie,Carrot beetroot juice,Puffed Rice Chivda | Ragi with buttermilk,1 katori | 2 tbsp | 2 rava,2 roti | 1 Katori | 0.5 serving | 1 katori,2 roti | 1 katori | 1 Katori,1 piece | 4 piece,1 glass,1 glass,1 Katori | 1 glass,117 | 30 | 168,164 | 115 | 143.5 | 60,170 | 27 | 150,56,148,72,138 | 71,15.9 | 1.8 | 27.2,31.8 | 6.6 | 0.9 | 2.8,34.8 | 5.4 | 21.8,88 | 0.8,18.3,15.7,19.8 | 14.3,5.5 | 1 | 5.2,6.2 | 2.2 | 8.45 | 1.4,6 | 0.9 | 8.5,20 | 1.2,5.3,2.1,3.2 | 1.8,3.5 | 2.4 | 4.4,1.4 | 8.8 | 11.85 | 4.8,0.8 | 0.2 | 3.3,0.3 | 5.6,6.2,0,5.1 | 0.8,3.2 | 0.8 | 2.2,6 | 3.1 | 0.25 | 1.7,5.4 | 2.5 | 7.1,0.8 | 0.8,2.3,1,2.4 | 2.3,Weight Gain,North Indian,Diabetes,Veg,1700
Day 4,1687.5 kcal,64.9 g,223.7 g,62.1 g,42.35 g,Methi paneer paratha | Dahi,Bhindi Sabzi | Mix daal | Carrot tomato salad | Wheat Roti,Veg Tofu Fried Rice,Fresh fruit salad | Chia seeds,Moong beans boiled,Coconut water | walnuts | Almonds,Roasted Papad | Green tea,2 pieces | 1 katori,1 Katori | 1 katori | 1 katori | 2 roti,1.5 Bowl,1 katori | 1 tbsp,1 katori,1 piece | 6 piece | 6 almond,1 Piece | 1 teacup,276 | 90,68 | 149 | 27 | 170,457.5,60 | 47,138,49 | 84 | 42,30 | 0,26.6 | 4.5,7.1 | 22.4 | 5.4 | 34.8,65.7,14 | 4.1,23.4,9.1 | 1.2 | 1.8,3.6 | 0,9.2 | 4.7,1.8 | 8.7 | 0.9 | 6,13.2,0.9 | 1.6,9.9,2.9 | 1.8 | 1.8,1.5 | 0,15 | 6,3.7 | 2.9 | 0.2 | 0.8,16.2,0.5 | 3,0.5,0.2 | 8.4 | 3.6,1.1 | 0,4.2 | 0,3.1 | 6 | 2.5 | 5.4,1.95,3.6 | 3.3,6.9,2.3 | 1.2 | 1.2,0.7 | 0,Weight Gain,North Indian,Diabetes,Veg,1700
Day 1,1991 kcal,82.2 g,299.9 g,54.1 g,58.2 g,Egg Omelette | Wheat Roti,Bhindi Sabzi | Daal | Carrot cucumber salad | Wheat Roti,Daal | Wheat Roti | Cabbage sabzi | Brown rice,Almonds | Pineapple | Cashew Nuts,Egg white,Apple | walnuts | Pear,Roasted chana,2 Piece | 2 roti,1 Katori | 1 bowl | 1 katori | 3 roti,1 bowl | 1 roti | 1 katori | 1 katori,6 almond | 4 thin | 6 Piece,boiled,1 piece | 6 piece | 1 piece,1 katori,208 | 170,68 | 116 | 21 | 255,116 | 85 | 62 | 109,42 | 104 | 48,4 piece,84 | ,270,5 | 34.8,7.1 | 18.7 | 4.9 | 52.2,18.7 | 17.4 | 4.7 | 22.8,1.8 | 24.4 | 1.8,68,88 | 1.2 | 77,46,12 | 6,1.8 | 7.2 | 0.7 | 9,7.2 | 3 | 1.5 | 2.4,1.8 | 0.8 | 1.8,0.8,20 | 1.8 | 17.6,9.6,16.2 | 0.8,3.7 | 1.4 | 0.1 | 1.2,1.4 | 0.4 | 4.2 | 0.9,3.6 | 0.4 | 4.2,14.4,0.3 | 8.4 | 0.9,5.3,0.8 | 5.4,3.1 | 3.1 | 1.1 | 8.1,3.1 | 2.7 | 2.6 | 1,1.2 | 6.4 | 0,0.8,0.8 | 1.2 | 0.3,7.2,Weight Loss,Maharashtrian,Cholesterol,Non Veg,2000
Day 2,1986.5 kcal,89.85 g,252.4 g,71.6 g,52.85 g,Paneer Paratha | Dahi,Daal | Gobi matar sabzi | Wheat Roti | Brown rice,Wheat Roti | Chicken curry | Carrot tomato salad,Apple | Almonds,Moong beans boiled,Pear | Pumpkin seeds | walnuts,Roasted peanuts | Buttermilk,2 Piece | 1 katori,1 bowl | 1 katori | 2 roti | 1 katori,2 roti | 1 katori | 1 katori,1 piece | 6 almond,1 katori,1 piece | 1 tbsp | 6 piece,0.5 serving | 1 glass,448 | 90,116 | 82 | 170 | 109,170 | 163 | 27,42,138,52 | 84,85.5 | 45,48.2 | 4.5,18.7 | 7 | 34.8 | 22.8,34.8 | 4.6 | 5.4,88 | 1.8,23.4,77 | 1.3 | 1.2,4 | 2.3,18.4 | 4.7,7.2 | 2.7 | 6 | 2.4,6 | 17.9 | 0.9,20 | 1.8,9.9,17.6 | 2.7 | 1.8,3.95 | 2.3,21.8 | 6,1.4 | 5 | 0.8 | 0.9,0.8 | 7.7 | 0.2,0.3 | 3.6,0.5,0.9 | 4.4 | 8.4,6 | 3,7.6 | 0,3.1 | 3.4 | 5.4 | 1,5.4 | 1.7 | 2.5,0.8 | 1.2,6.9,0.3 | 0.6 | 1.2,1.65 | 0,Weight Loss,Maharashtrian,Cholesterol,Non Veg,2000
Day 3,1994 kcal,86.6 g,267.1 g,69 g,40.3 g,Boiled Egg | Peas poha,Daal | Gavar sabzi | Capsicum lettuce salad | Jowar Bhakri,Dahi | Dal Khichadi | Carrot tomato salad,Apple smoothie | Cashew Nuts,Egg white,Coconut water | walnuts | Almonds,Chickpea vegetable salad,2 Egg | 2 katori,1 bowl | 1 katori | 1 katori | 3 Piece,1 katori | 2 Bowl | 1 katori,1 glass | 6 Piece,boiled,1 piece | 6 piece | 6 almond,2 katori,172 | 280,116 | 65 | 49 | 249,90 | 346 | 27,145 | 48,4 piece,49 | 84 | 42,164,2 | 55.8,18.7 | 4.7 | 3.7 | 53.4,4.5 | 57.2 | 5.4,22 | 1.8,68,9.1 | 1.2 | 1.8,25,13.2 | 6,7.2 | 2.6 | 1.1 | 5.4,4.7 | 13.2 | 0.9,3.6 | 1.8,0.8,2.9 | 1.8 | 1.8,6,13.2 | 4,1.4 | 3.8 | 3.7 | 2.4,6 | 7.2 | 0.2,4.9 | 4.2,14.4,0.2 | 8.4 | 3.6,5,0 | 2.2,3.1 | 3.6 | 1.9 | 4.5,0 | 7 | 2.5,1.6 | 0,0.8,2.3 | 1.2 | 1.2,9.2,Weight Loss,Maharashtrian,Cholesterol,Non Veg,2000
Day 4,1981 kcal,90 g,270.5 g,64.1 g,52.2 g,Wheat Roti | Egg bhurji,Carrot cucumber salad | Wheat Roti | Chicken curry | Daal | Brown rice,Chana lobia curry | Carrot tomato salad | Bajri Bhakri,Mosambi | Chia seeds | walnuts,Sprouts,Watermelon | Almonds | Cashew Nuts,Makhana | Ragi with buttermilk,2 roti | 2 one,1 katori | 2 roti | 1 katori | 1 bowl | 1 katori,1 katori | 1 katori | 2 Piece,1 piece | 1 tbsp | 6 piece,2 Katori,1 cup | 6 almond | 6 Piece,1 katori | 1 glass,170 | 304,21 | 170 | 163 | 116 | 109,171 | 27 | 226,29 | 47 | 84,48,42 | 48,111 | 71,34.8 | 9.6,4.9 | 34.8 | 4.6 | 18.7 | 22.8,24.3 | 5.4 | 42,6.2 | 4.1 | 1.2,9.6,24 | 1.8 | 1.8,24.6 | 14.3,6 | 15.2,0.7 | 6 | 17.9 | 7.2 | 2.4,9 | 0.9 | 7.2,0.5 | 1.6 | 1.8,4.8,5 | 1.8 | 1.8,3.1 | 1.8,0.8 | 23.8,0.1 | 0.8 | 7.7 | 1.4 | 0.9,4.3 | 0.2 | 3.2,0.2 | 3 | 8.4,0.4,0.3 | 3.6 | 4.2,0 | 0.8,5.4 | 2.6,1.1 | 5.4 | 1.7 | 3.1 | 1,4.3 | 2.5 | 7,1.8 | 3.3 | 1.2,2.8,0.3 | 1.2 | 0,4.6 | 2.3,Weight Loss,Maharashtrian,Cholesterol,Non Veg,2000
Day 1,1500 kcal,65.5 g,182.2 g,59.3 g,28.2 g,Egg Omelette | Wheat Roti,Wheat Roti | Bhindi Sabzi | Daal | Carrot cucumber salad,Daal | Grilled paneer | Brown rice,Orange | Cashew Nuts,Grilled paneer,Almonds | Orange,Sweet corn chaat,2 Piece | 2 roti,2 roti | 1 Katori | 1 bowl | 1 katori,1 bowl | 0.5 serving | 1 katori,1 piece | 4 Piece,0.5 serving,4 almond | 1 piece,1 katori,208 | 170,170 | 68 | 116 | 21,116 | 143.5 | 109,32,143.5,28 | ,83,5 | 34.8,34.8 | 7.1 | 18.7 | 4.9,18.7 | 0.9 | 22.8,46 | 1.2,0.9,1.2 | 46,10.2,12 | 6,6 | 1.8 | 7.2 | 0.7,7.2 | 8.45 | 2.4,10.5 | 1.2,8.45,1.2 | 10.5,1.5,16.2 | 0.8,0.8 | 3.7 | 1.4 | 0.1,1.4 | 11.85 | 0.9,0.7 | 2.8,11.85,2.4 | 0.7,4.7,0.8 | 5.4,5.4 | 3.1 | 3.1 | 1.1,3.1 | 0.25 | 1,0.2 | 0,0.25,0.8 | 0.2,1.7,Weight Loss,Maharashtrian,Diabetes,Non Veg,1500
Day 2,1474 kcal,68.7 g,190.75 g,51.4 g,32.85 g,Boiled Egg | Peas poha,Chicken curry | Carrot cucumber salad | Wheat Roti | Brown rice,Paneer capsicum sabzi | Green salad | Jowar roti,walnuts | Almonds,Boiled soya chunks,Pear | Almonds,Boiled sprouted chana | Buttermilk,1 Egg | 1.5 katori,1 katori | 1 katori | 1 roti | 1 katori,1 katori | 1 katori | 2 piece,4 piece | 4 almond,1 katori,1 piece | 4 almond,1 katori | 1 glass,86 | 210,163 | 21 | 85 | 109,132 | 60 | 166,56 | 28,47,28,161 | 45,1 | 41.85,4.6 | 4.9 | 17.4 | 22.8,5.2 | 2.8 | 35.6,0.8 | 1.2,4.5,77 | 1.2,27 | 2.3,6.6 | 4.5,17.9 | 0.7 | 3 | 2.4,6 | 1.4 | 3.6,1.2 | 1.2,7.1,17.6 | 1.2,8.7 | 2.3,6.6 | 3,7.7 | 0.1 | 0.4 | 0.9,9.9 | 4.8 | 1.6,5.6 | 2.4,0.1,0.9 | 2.4,2.6 | 3,0 | 1.65,1.7 | 1.1 | 2.7 | 1,1.9 | 1.7 | 3,0.8 | 0.8,1.8,0.3 | 0.8,7.5 | 0,Weight Loss,Maharashtrian,Diabetes,Non Veg,1500
Day 3,1467.5 kcal,61.35 g,184.3 g,56.5 g,36.5 g,Dahi | Vegetable dalia,Bajra roti | Chana curry | Daal | Carrot cucumber salad,Soya chunk pulao | Beetroot Koshimbir,Muskmelon | walnuts,Boiled Egg,Coconut water | Almonds | Cashew Nuts,Puffed Rice Chivda,1 katori | 1.5 katori,2 piece | 1 katori | 1 bowl | 1 katori,1.5 katori | 1 Katori,1 cup | 4 piece,2 Egg,1 piece | 4 almond | 4 Piece,1 Katori,90 | 124.5,226 | 118 | 116 | 21,222 | 48,56,172,49 | 28 | 32,138,4.5 | 23.1,38.2 | 15.9 | 18.7 | 4.9,35.4 | 3.9,27 | 0.8,2,9.1 | 1.2 | 1.2,19.8,4.7 | 4.05,6.6 | 4.3 | 7.2 | 0.7,9.3 | 1.1,5.6 | 1.2,13.2,2.9 | 1.2 | 1.2,3.2,6 | 2.4,5.2 | 4.2 | 1.4 | 0.1,4.5 | 3.1,0.5 | 5.6,13.2,0.2 | 2.4 | 2.8,5.1,0 | 6,6.4 | 6.8 | 3.1 | 1.1,3.6 | 1.9,0.3 | 0.8,0,2.3 | 0.8 | 0,2.4,Weight Loss,Maharashtrian,Diabetes,Non Veg,1500
Day 4,1468 kcal,69.45 g,208.75 g,40.9 g,36.8 g,Gobi matar paratha | Dahi,Wheat Roti | Lobia sabzi | Boiled Egg,Chicken drumstick gravy | Carrot cucumber salad | Brown rice,Papaya smoothie,Moong beans boiled,Pineapple | Almonds,Roasted chana,1 piece | 0.5 katori,2 roti | 1 katori | 1 Egg,1 katori | 1 katori | 1 katori,1 glass,1 katori,2 thin | 4 almond,1 katori,147 | 45,170 | 114 | 86,140 | 21 | 109,148,138,52 | 28,270,20.7 | 2.25,34.8 | 16 | 1,5.2 | 4.9 | 22.8,18.3,23.4,12.2 | 1.2,46,4.6 | 2.35,6 | 6.7 | 6.6,13.7 | 0.7 | 2.4,5.3,9.9,0.4 | 1.2,9.6,5.1 | 3,0.8 | 2.7 | 6.6,7.1 | 0.1 | 0.9,6.2,0.5,0.2 | 2.4,5.3,4.6 | 0,5.4 | 2.4 | 0,1.9 | 1.1 | 1,2.3,6.9,3.2 | 0.8,7.2,Weight Loss,Maharashtrian,Diabetes,Non Veg,1500
Day 1,1601 kcal,67.15 g,200.5 g,60.7 g,40.45 g,Spinach dosa | Roasted chana dal chutney | Ragi with buttermilk,Drumstick rasam | Tomato Rice | Egg white,Chicken tikka sandwich,Papaya | walnuts,Boiled soyabean,Apple | Almonds,Roasted chana,1 medium | 2 tbsp | 1 glass,1 katori | 1 Piece | boiled,1 pc,1 cup | 6 piece,0.5 cup,1 piece | 6 almond,1 katori,183 | 108 | 71,122 | 112 | 3 piece,276,84,148,42,270,24.8 | 8.2 | 14.3,20.6 | 19 | 51,26.4,46 | 1.2,7.2,88 | 1.8,46,5.8 | 2.8 | 1.8,1.9 | 2.8 | 0.6,11.2,10.4 | 1.8,15.65,20 | 1.8,9.6,6.7 | 7.2 | 0.8,3.9 | 2.8 | 10.8,12.7,0.9 | 8.4,7.7,0.3 | 3.6,5.3,4.4 | 1.8 | 2.3,1.6 | 1.9 | 0.6,5.1,0.2 | 1.2,5.15,0.8 | 1.2,7.2,Weight Loss,South Indian,Diabetes,Non Veg,1600
Day 2,1587.5 kcal,75.35 g,189.2 g,62.5 g,42.8 g,Green Gram Idli | Tomato peanut chutney,Egg curry | Ragi/nachni roti | Green salad,Mix daal | Banana stem salad | Brown rice,Oatmeal porridge,Egg white,Coconut water | Almonds | walnuts | Cashew Nuts,Roasted peanuts | Orange,3 Piece | 2 tbsp,1.5 katori | 2 roti | 1.5 katori,1 katori | 1 katori | 1 katori,1 katori,boiled,1 piece | 6 almond | 6 piece | 6 Piece,0.5 serving | 1 piece,234 | 30,177 | 174 | 90,149 | 62 | 109,140,4 piece,49 | 42 | 84 | 48,85.5 | ,33.3 | 1.8,11.1 | 38.4 | 4.2,22.4 | 9.3 | 22.8,16.7,68,9.1 | 1.8 | 1.2 | 1.8,4 | 46,14.1 | 1,9 | 4 | 2.1,8.7 | 0.5 | 2.4,6.2,0.8,2.9 | 1.8 | 1.8 | 1.8,3.95 | 10.5,5.4 | 2.4,11.1 | 0.8 | 7.2,2.9 | 2.5 | 0.9,5.9,14.4,0.2 | 3.6 | 8.4 | 4.2,6 | 0.7,9.9 | 0.8,4.8 | 6.2 | 2.55,6 | 2.1 | 1,2,0.8,2.3 | 1.2 | 1.2 | 0,1.65 | 0.2,Weight Loss,South Indian,Diabetes,Non Veg,1600
Day 3,1615 kcal,85.35 g,228 g,42.2 g,46.4 g,Paneer bhurji dosa | Brinjal sambhar,Chicken biryani | Tomato cucumber raita,Chicken curry | Multi grain roti,Pear,Boiled soya chunks,Moong beans boiled | Pomegranate,Makhana,1 dosa | 1 katori,1.5 katori | 1 katori,1 katori | 2 roti,1 piece,1 katori,1 katori | 1 cup,1 katori,369 | 117,234 | 51,163 | 164,,47,138 | 144,111,43 | 15.9,24.6 | 5.5,4.6 | 31.8,77,4.5,23.4 | 32.5,24.6,13.3 | 5.5,16.05 | 2.5,17.9 | 6.2,17.6,7.1,9.9 | 2.9,3.1,16.2 | 3.5,8.1 | 2.4,7.7 | 1.4,0.9,0.1,0.5 | 2,0,5.6 | 3.2,2.1 | 1.1,1.7 | 6,0.3,1.8,6.9 | 7,4.6,Weight Loss,South Indian,Diabetes,Non Veg,1600
Day 4,1580 kcal,68 g,190.9 g,64.55 g,32.95 g,Vermicelli upma,Brinjal sambhar | Tofu | Brown rice,Chapati | Egg bhurji,Apple | walnuts,Peanut butter with whole wheat bread,Chickpea vegetable salad,Murmura chana peanuts bhel,1 katori,1 katori | 1 serving | 1 katori,2 Piece | 1.5 one,1 piece | 6 piece,2 slice,1 katori,1 katori,101,117 | 144 | 109,170 | 228,84,234,82,223,16.7,15.9 | 2.8 | 22.8,34.8 | 7.2,88 | 1.2,26,12.5,31,2.3,5.5 | 17.3 | 2.4,6 | 11.4,20 | 1.8,10.8,3,7.2,2.8,3.5 | 8.7 | 0.9,0.8 | 17.85,0.3 | 8.4,10.4,2.5,7.9,1.3,3.2 | 2.3 | 1,5.4 | 1.95,0.8 | 1.2,5,4.6,2.2,Weight Loss,South Indian,Diabetes,Non Veg,1600
Day 1,1397 kcal,65.4 g,177 g,49.2 g,34.8 g,Egg Omelette | Whole wheat bread,Gavar sabzi | Wheat Roti | Boiled Egg | Carrot cucumber salad,Wheat Roti | Paneer capsicum sabzi | Daal,Granola bar,Epigamia plain yoghurt | Cashew Nuts | Raisins,Pear | Almonds,Boiled soya chunks | Buttermilk with flaxseed powder,1 Piece | 1 slice,1 katori | 2 roti | 1 Egg | 1 katori,2 roti | 1 katori | 1 bowl,1 bar,1 pack | 4 Piece | 1 tbsp,1 piece | 4 almond,1 katori | 1 glass,104 | 78,65 | 170 | 86 | 21,170 | 132 | 116,119,69 | 32 | 28,28,47 | 55,2.5 | 14.4,4.7 | 34.8 | 1 | 4.9,34.8 | 5.2 | 18.7,16.9,5.6 | 1.2 | 6.8,77 | 1.2,4.5 | 2.2,6 | 2,2.6 | 6 | 6.6 | 0.7,6 | 6 | 7.2,1.9,7.2 | 1.2 | 0.2,17.6 | 1.2,7.1 | 2.6,8.1 | 1,3.8 | 0.8 | 6.6 | 0.1,0.8 | 9.9 | 1.4,4.9,2 | 2.8 | 0,0.9 | 2.4,0.1 | 4.2,0.4 | 1.2,3.6 | 5.4 | 0 | 1.1,5.4 | 1.9 | 3.1,2.2,0 | 0 | 0.6,0.3 | 0.8,1.8 | 0.9,Weight Gain,Maharashtrian,None,Non Veg,1400
Day 2,1400 kcal,69.45 g,167.8 g,51 g,31.5 g,Besan chilla | Dahi,Green Peas Potato Pulao | Soyabean Curry | Wheat Roti | Tomato cucumber raita,Wheat Roti | Grilled Chicken | Dal palak,Papaya smoothie | Flax seeds,Egg white,Mosambi | walnuts,Puffed Rice Chivda,1 chilla | 0.5 katori,1 Katori | 1 Katori | 1 roti | 1 katori,2 roti | 0.5 Piece | 1 katori,1 glass | 1 tbsp,boiled,1 piece | 4 piece,1 Katori,108 | 45,136 | 120 | 85 | 51,170 | 107 | 118,148 | 55,2 piece,29 | 56,138,10.8 | 2.25,25.6 | 7.3 | 17.4 | 5.5,34.8 | 0.65 | 15,18.3 | 3,34,6.2 | 0.8,19.8,4 | 2.35,3.3 | 8.8 | 3 | 2.5,6 | 14.2 | 6,5.3 | 1.9,0.4,0.5 | 1.2,3.2,5.3 | 3,2.3 | 6.2 | 0.4 | 2.4,0.8 | 4.9 | 3.8,6.2 | 4.4,7.2,0.2 | 5.6,5.1,2.3 | 0,1.7 | 5.3 | 2.7 | 1.1,5.4 | 0.1 | 2.8,2.3 | 2.8,0.4,1.8 | 0.8,2.4,Weight Gain,Maharashtrian,None,Non Veg,1400
Day 3,1399 kcal,67.9 g,167 g,53.8 g,33.8 g,Peas poha,Paneer Paratha | Dahi | Carrot cucumber salad,Wheat Roti | Chicken curry | Carrot tomato salad,Muskmelon | Chia seeds,Egg white,Chiku | walnuts,Peanut butter with whole wheat bread,1 katori,2 Piece | 1 katori | 1 katori,2 roti | 1 katori | 1 katori,1 cup | 1 tbsp,boiled,1 piece | 4 piece,1 slice,140,448 | 90 | 21,170 | 163 | 27,47,2 piece,59 | 56,117,27.9,48.2 | 4.5 | 4.9,34.8 | 4.6 | 5.4,27 | 4.1,34,12.8 | 0.8,13,3,18.4 | 4.7 | 0.7,6 | 17.9 | 0.9,5.6 | 1.6,0.4,0.4 | 1.2,5.4,2,21.8 | 6 | 0.1,0.8 | 7.7 | 0.2,0.5 | 3,7.2,0.7 | 5.6,5.2,1.1,7.6 | 0 | 1.1,5.4 | 1.7 | 2.5,0.3 | 3.3,0.4,6.5 | 0.8,2.5,Weight Gain,Maharashtrian,None,Non Veg,1400
Day 4,1398 kcal,64.3 g,165.25 g,53.9 g,19.6 g,Upma,Egg fried rice | Kheera tamatar salad,Wheat Roti | Roasted chicken | Cabbage sabzi,Epigamia plain yoghurt | Blueberries | Raisins,Egg white,Cucumber palak juice | Soaked and peeled almonds,Paneer sandwich,1 katori,2 katori | 1 katori,2 roti | 0.5 chicken | 1 katori,1 pack | 1 In | 1 tbsp,boiled,1 glass | 4 almond,1 sandwich,171,300 | 15,170 | 107 | 62,69 | 17 | 28,2 piece,29 | 32,364,24.3,37 | 3.2,34.8 | 0.65 | 4.7,5.6 | 3.5 | 6.8,34,4.2 | 0.4,39.7,4.4,8.6 | 0.6,6 | 14.2 | 1.5,7.2 | 0.2 | 0.2,0.4,1.8 | 1.2,11.2,6.3,13.8 | 0.1,0.8 | 4.9 | 4.2,2 | 0 | 0,7.2,0.6 | 2.8,18,2.5,2.2 | 0.9,5.4 | 0.1 | 2.6,0 | 0 | 0.6,0.4,2.2 | 0.8,2.3,Weight Gain,Maharashtrian,None,Non Veg,1400
